"행정구역","2013년03월_전월인구수_남자인구수","2013년03월_전월인구수_여자인구수","2013년03월_전월인구수_계","2013년03월_당월인구수_남자인구수","2013년03월_당월인구수_여자인구수","2013년03월_당월인구수_계","2013년03월_인구증감_남자인구수","2013년03월_인구증감_여자인구수","2013년03월_인구증감_계"
"대전광역시 중구 (3014000000)","","","263,798","131,532","132,180","263,712","","","-86"
"대전광역시 서구 (3017000000)","","","496,918","245,081","251,803","496,884","","","-34"
"대전광역시 유성구 (3020000000)","","","308,980","156,351","153,275","309,626","","","646"
"대전광역시 대덕구 (3023000000)","","","205,610","104,514","101,207","205,721","","","111"
"울산광역시  (3100000000)","","","1,148,713","592,072","558,143","1,150,215","","","1,502"
"울산광역시 중구 (3111000000)","","","232,789","119,269","113,632","232,901","","","112"
"울산광역시 남구 (3114000000)","","","347,055","176,873","170,478","347,351","","","296"
"울산광역시 동구 (3117000000)","","","176,217","93,306","83,835","177,141","","","924"
"울산광역시 북구 (3120000000)","","","184,353","95,267","89,029","184,296","","","-57"
"울산광역시 울주군 (3171000000)","","","208,299","107,357","101,169","208,526","","","227"
"세종특별자치시  (3600000000)","","","115,269","59,136","56,819","115,955","","","686"
"세종특별자치시  (3611000000)","","","115,269","59,136","56,819","115,955","","","686"
"경기도  (4100000000)","","","12,123,024","6,111,112","6,022,478","12,133,590","","","10,566"
"경기도 수원시 (4111000000)","","","1,127,785","569,167","561,148","1,130,315","","","2,530"
"경기도 성남시 (4113000000)","","","980,548","489,456","491,491","980,947","","","399"
"경기도 의정부시 (4115000000)","","","429,720","212,639","217,213","429,852","","","132"
"경기도 안양시 (4117000000)","","","611,324","304,929","306,177","611,106","","","-218"
"경기도 부천시 (4119000000)","","","869,583","435,609","433,530","869,139","","","-444"
"경기도 광명시 (4121000000)","","","355,440","176,152","179,125","355,277","","","-163"
"경기도 평택시 (4122000000)","","","435,536","221,605","214,413","436,018","","","482"
"경기도 동두천시 (4125000000)","","","97,110","48,535","48,646","97,181","","","71"
"경기도 안산시 (4127000000)","","","714,870","366,141","348,592","714,733","","","-137"
"경기도 고양시 (4128000000)","","","972,897","479,992","493,532","973,524","","","627"
"경기도 과천시 (4129000000)","","","70,899","34,537","36,321","70,858","","","-41"
"경기도 구리시 (4131000000)","","","191,929","95,602","96,043","191,645","","","-284"
"경기도 남양주시 (4136000000)","","","603,499","303,018","301,963","604,981","","","1,482"
"경기도 오산시 (4137000000)","","","200,442","102,651","98,008","200,659","","","217"
"경기도 시흥시 (4139000000)","","","399,231","209,150","190,016","399,166","","","-65"
"경기도 군포시 (4141000000)","","","286,757","142,643","143,910","286,553","","","-204"
"경기도 의왕시 (4143000000)","","","156,881","78,936","78,658","157,594","","","713"
"경기도 하남시 (4145000000)","","","145,756","74,306","71,391","145,697","","","-59"
"경기도 용인시 (4146000000)","","","920,232","458,386","463,457","921,843","","","1,611"
