Date,Open,High,Low,Close,Adj Close,Volume
2010-02-11,15140.000000,15300.000000,15120.000000,15260.000000,11856.690430,13208300
2010-02-12,15340.000000,15340.000000,14900.000000,15000.000000,11654.673828,22879300
2010-02-16,15000.000000,15180.000000,14960.000000,15120.000000,11747.912109,7723550
2010-02-17,15440.000000,15580.000000,15280.000000,15580.000000,12105.320313,13997150
2010-02-18,15580.000000,15620.000000,15440.000000,15500.000000,12043.161133,7251900
2010-02-19,15380.000000,15540.000000,15180.000000,15200.000000,11810.068359,11094000
2010-02-22,15440.000000,15560.000000,15400.000000,15460.000000,12012.083008,11580550
2010-02-23,15480.000000,15480.000000,15120.000000,15340.000000,11918.847656,12568850
2010-02-24,15180.000000,15220.000000,15000.000000,15040.000000,11685.752930,15052500
2010-02-25,15080.000000,15160.000000,14680.000000,14720.000000,11437.118164,19273900
2010-02-26,14800.000000,14960.000000,14660.000000,14880.000000,11561.437500,15576350
2010-03-02,15220.000000,15480.000000,15120.000000,15400.000000,11965.464844,23494700
2010-03-03,15420.000000,15460.000000,15260.000000,15420.000000,11981.007813,9713550
2010-03-04,15420.000000,15440.000000,15120.000000,15220.000000,11825.610352,10205050
2010-03-05,15260.000000,15500.000000,15260.000000,15500.000000,12043.161133,11754700
2010-03-08,15800.000000,15840.000000,15700.000000,15720.000000,12214.101563,19563300
2010-03-09,15740.000000,15740.000000,15540.000000,15720.000000,12214.101563,12211750
2010-03-10,15720.000000,15740.000000,15560.000000,15680.000000,12183.018555,11367600
2010-03-11,15800.000000,15880.000000,15560.000000,15560.000000,12089.781250,19631000
2010-03-12,15560.000000,15680.000000,15420.000000,15560.000000,12089.781250,9997950
2010-03-15,15640.000000,15660.000000,15280.000000,15360.000000,11934.384766,11156550
2010-03-16,15360.000000,15400.000000,15160.000000,15300.000000,11887.765625,16548150
2010-03-17,15440.000000,15960.000000,15420.000000,15960.000000,12400.574219,21840650
2010-03-18,15900.000000,16140.000000,15900.000000,15940.000000,12385.035156,15393500
2010-03-19,16020.000000,16140.000000,15960.000000,16080.000000,12493.809570,10711200
2010-03-22,16060.000000,16080.000000,15840.000000,16020.000000,12447.189453,9191800
2010-03-23,16140.000000,16300.000000,16100.000000,16180.000000,12571.506836,9923300
2010-03-24,16300.000000,16500.000000,16260.000000,16380.000000,12726.905273,15926950
2010-03-25,16300.000000,16440.000000,16180.000000,16380.000000,12726.905273,9481650
2010-03-26,16460.000000,16500.000000,16240.000000,16400.000000,12742.441406,10481650
2010-03-29,16200.000000,16500.000000,16200.000000,16360.000000,12711.362305,7756350
2010-03-30,16540.000000,16580.000000,16240.000000,16280.000000,12649.207031,12042400
2010-03-31,16280.000000,16680.000000,16260.000000,16360.000000,12711.362305,21699800
2010-04-01,16520.000000,16900.000000,16480.000000,16900.000000,13130.927734,28068050
2010-04-02,16920.000000,17200.000000,16820.000000,17140.000000,13317.408203,20907050
2010-04-05,17220.000000,17400.000000,17140.000000,17400.000000,13519.425781,15201700
2010-04-06,17480.000000,17500.000000,17220.000000,17380.000000,13503.878906,16494250
2010-04-07,17300.000000,17380.000000,17040.000000,17180.000000,13348.485352,19418550
2010-04-08,17140.000000,17260.000000,17060.000000,17260.000000,13410.648438,13447700
2010-04-09,17280.000000,17320.000000,16960.000000,17120.000000,13301.865234,13757650
2010-04-12,17180.000000,17200.000000,16540.000000,16600.000000,12897.838867,24897000
2010-04-13,16680.000000,16680.000000,16300.000000,16560.000000,12866.757813,20446350
2010-04-14,16700.000000,16940.000000,16660.000000,16900.000000,13130.927734,15369350
2010-04-15,17240.000000,17240.000000,16880.000000,17100.000000,13286.330078,18248400
2010-04-16,17100.000000,17160.000000,16820.000000,16960.000000,13177.553711,11003100
2010-04-19,16740.000000,16800.000000,16520.000000,16540.000000,12851.222656,12357100
2010-04-20,16540.000000,16640.000000,16420.000000,16560.000000,12866.757813,13571500
2010-04-21,16760.000000,17060.000000,16700.000000,17040.000000,13239.708008,13200200
2010-04-22,16980.000000,16980.000000,16660.000000,16820.000000,13068.772461,17161750
2010-04-23,16960.000000,16960.000000,16560.000000,16600.000000,12897.838867,15442000
2010-04-26,16700.000000,16840.000000,16600.000000,16680.000000,12959.996094,13009350
2010-04-27,16620.000000,16760.000000,16540.000000,16700.000000,12975.533203,13040500
2010-04-28,16400.000000,16500.000000,16360.000000,16500.000000,12820.145508,16007500
2010-04-29,16600.000000,16620.000000,16320.000000,16500.000000,12820.145508,11337150
2010-04-30,16560.000000,17040.000000,16540.000000,16980.000000,13193.090820,22710850
2010-05-03,16900.000000,16900.000000,16540.000000,16580.000000,12882.300781,14553900
2010-05-04,16800.000000,16860.000000,16600.000000,16680.000000,12959.996094,9138450
2010-05-06,16340.000000,16380.000000,16200.000000,16280.000000,12649.207031,22570150
2010-05-07,15960.000000,15980.000000,15760.000000,15880.000000,12338.414063,37887000
2010-05-10,16000.000000,16100.000000,15940.000000,16060.000000,12478.269531,16435550
2010-05-11,16240.000000,16240.000000,15820.000000,15820.000000,12291.795898,22498000
2010-05-12,15940.000000,15960.000000,15640.000000,15780.000000,12260.717773,15759500
2010-05-13,15960.000000,16400.000000,15940.000000,16260.000000,12633.666016,15900650
2010-05-14,16120.000000,16240.000000,15980.000000,16200.000000,12587.045898,14674300
2010-05-17,15960.000000,15980.000000,15560.000000,15680.000000,12183.018555,26460950
2010-05-18,15800.000000,15900.000000,15680.000000,15840.000000,12307.335938,18143800
2010-05-19,15700.000000,15700.000000,15380.000000,15460.000000,12012.083008,17987050
2010-05-20,15300.000000,15440.000000,15100.000000,15120.000000,11747.912109,19772500
2010-05-24,14940.000000,15280.000000,14880.000000,15160.000000,11778.995117,17704300
2010-05-25,15000.000000,15120.000000,14720.000000,14820.000000,11514.819336,25489550
2010-05-26,15200.000000,15380.000000,14900.000000,15000.000000,11654.673828,22943950
2010-05-27,14880.000000,15500.000000,14820.000000,15440.000000,11996.546875,22173500
2010-05-28,15740.000000,15740.000000,15340.000000,15560.000000,12089.781250,22448950
2010-05-31,15440.000000,15620.000000,15360.000000,15520.000000,12058.705078,12774650
2010-06-01,15520.000000,15580.000000,15300.000000,15360.000000,11934.384766,11382350
2010-06-03,15600.000000,15680.000000,15480.000000,15540.000000,12074.243164,14649400
2010-06-04,15500.000000,15940.000000,15480.000000,15860.000000,12322.875000,12598850
2010-06-07,15580.000000,15740.000000,15540.000000,15740.000000,12229.636719,15161550
2010-06-08,15700.000000,15960.000000,15520.000000,15700.000000,12198.557617,14499800
2010-06-09,15840.000000,15840.000000,15320.000000,15400.000000,11965.464844,17914950
2010-06-10,15540.000000,15600.000000,15420.000000,15460.000000,12012.083008,17769350
2010-06-11,15700.000000,15940.000000,15660.000000,15940.000000,12385.035156,18283050
2010-06-14,15820.000000,16180.000000,15820.000000,16140.000000,12540.428711,12094650
2010-06-15,16200.000000,16200.000000,15960.000000,15960.000000,12400.574219,9528550
2010-06-16,16300.000000,16440.000000,16180.000000,16380.000000,12726.905273,18823500
2010-06-17,16240.000000,16340.000000,16200.000000,16340.000000,12695.823242,11648800
2010-06-18,16500.000000,16500.000000,16240.000000,16440.000000,12773.523438,9579500
2010-06-21,16600.000000,16780.000000,16500.000000,16600.000000,12897.838867,14230700
2010-06-22,16540.000000,16540.000000,16260.000000,16320.000000,12680.286133,14794100
2010-06-23,16220.000000,16220.000000,16000.000000,16100.000000,12509.347656,17489950
2010-06-24,16160.000000,16460.000000,16100.000000,16400.000000,12742.441406,14152200
2010-06-25,16180.000000,16200.000000,16040.000000,16100.000000,12509.347656,16982600
2010-06-28,16100.000000,16160.000000,15920.000000,15920.000000,12369.493164,13026700
2010-06-29,16020.000000,16080.000000,15740.000000,15840.000000,12385.132813,12560000
2010-06-30,15400.000000,15600.000000,15400.000000,15480.000000,12103.652344,26708450
2010-07-01,15580.000000,15600.000000,15200.000000,15320.000000,11978.549805,22206400
2010-07-02,15400.000000,15480.000000,15260.000000,15340.000000,11994.187500,11641100
2010-07-05,15260.000000,15400.000000,15220.000000,15340.000000,11994.187500,9995600
2010-07-06,15240.000000,15500.000000,15100.000000,15500.000000,12119.288086,17879550
2010-07-07,15600.000000,15620.000000,15300.000000,15380.000000,12025.461914,16180150
2010-07-08,15660.000000,15680.000000,15400.000000,15500.000000,12119.288086,14752850
2010-07-09,15580.000000,15920.000000,15460.000000,15920.000000,12447.683594,18605950
2010-07-12,15980.000000,16040.000000,15840.000000,16040.000000,12541.509766,12597450
2010-07-13,15960.000000,16160.000000,15880.000000,15920.000000,12447.683594,15339650
2010-07-14,16260.000000,16560.000000,16260.000000,16480.000000,12885.540039,33184600
2010-07-15,16500.000000,16500.000000,16360.000000,16400.000000,12822.988281,16063950
2010-07-16,16320.000000,16400.000000,16040.000000,16040.000000,12541.509766,16933400
2010-07-19,15720.000000,15980.000000,15720.000000,15900.000000,12432.044922,14586800
2010-07-20,15900.000000,16040.000000,15720.000000,15960.000000,12478.960938,11578400
2010-07-21,16340.000000,16360.000000,16120.000000,16340.000000,12776.075195,16558800
2010-07-22,16240.000000,16340.000000,16020.000000,16160.000000,12635.338867,15439550
2010-07-23,16300.000000,16340.000000,16140.000000,16220.000000,12682.250000,14112800
2010-07-26,16260.000000,16400.000000,16180.000000,16360.000000,12791.713867,10617450
2010-07-27,16480.000000,16600.000000,16420.000000,16580.000000,12963.732422,19088350
2010-07-28,16640.000000,16800.000000,16620.000000,16740.000000,13088.831055,23248200
2010-07-29,16780.000000,16800.000000,16480.000000,16540.000000,12932.457031,14865300
2010-07-30,16440.000000,16540.000000,16200.000000,16200.000000,12666.610352,16399000
2010-08-02,16340.000000,16360.000000,16200.000000,16200.000000,12666.610352,12455050
2010-08-03,16400.000000,16440.000000,16300.000000,16300.000000,12744.801758,13105950
2010-08-04,16340.000000,16360.000000,16120.000000,16120.000000,12604.063477,10616650
2010-08-05,16220.000000,16360.000000,16060.000000,16080.000000,12572.784180,14028550
2010-08-06,16200.000000,16200.000000,15980.000000,16020.000000,12525.870117,12296750
2010-08-09,15980.000000,16040.000000,15960.000000,16040.000000,12541.509766,9138150
2010-08-10,16000.000000,16080.000000,15820.000000,15860.000000,12400.769531,14060850
2010-08-11,15680.000000,15780.000000,15540.000000,15580.000000,12181.839844,17957900
2010-08-12,15360.000000,15540.000000,15300.000000,15320.000000,11978.549805,21360650
2010-08-13,15400.000000,15640.000000,15340.000000,15620.000000,12213.116211,14274900
2010-08-16,15460.000000,15660.000000,15340.000000,15640.000000,12228.756836,10280000
2010-08-17,15540.000000,15660.000000,15420.000000,15640.000000,12228.756836,14476450
2010-08-18,15680.000000,15700.000000,15480.000000,15560.000000,12166.201172,11715900
2010-08-19,15580.000000,15780.000000,15540.000000,15780.000000,12338.218750,12179900
2010-08-20,15600.000000,15720.000000,15540.000000,15680.000000,12260.028320,12330600
2010-08-23,15720.000000,15820.000000,15640.000000,15800.000000,12353.856445,9081550
2010-08-24,15700.000000,15720.000000,15500.000000,15660.000000,12244.392578,11365400
2010-08-25,15520.000000,15560.000000,15440.000000,15440.000000,12072.377930,9263250
2010-08-26,15440.000000,15660.000000,15400.000000,15460.000000,12088.012695,10440100
2010-08-27,15300.000000,15440.000000,15300.000000,15320.000000,11978.549805,12748200
2010-08-30,15500.000000,15560.000000,15440.000000,15520.000000,12134.928711,6984450
2010-08-31,15320.000000,15440.000000,15120.000000,15120.000000,11822.171875,22051950
2010-09-01,15240.000000,15260.000000,15000.000000,15040.000000,11759.620117,19451700
2010-09-02,15200.000000,15240.000000,14980.000000,15180.000000,11869.084961,18271500
2010-09-03,15220.000000,15280.000000,15120.000000,15220.000000,11900.361328,22082500
2010-09-06,15440.000000,15600.000000,15360.000000,15600.000000,12197.478516,19708650
2010-09-07,15660.000000,15800.000000,15500.000000,15760.000000,12322.580078,16036000
2010-09-08,15520.000000,15620.000000,15420.000000,15420.000000,12056.741211,10954600
2010-09-09,15340.000000,15480.000000,15120.000000,15120.000000,11822.171875,30825400
2010-09-10,15200.000000,15440.000000,15140.000000,15320.000000,11978.549805,13989000
2010-09-13,15400.000000,15520.000000,15320.000000,15400.000000,12041.099609,11741050
2010-09-14,15500.000000,15620.000000,15200.000000,15200.000000,11884.721680,18559950
2010-09-15,15260.000000,15340.000000,15020.000000,15140.000000,11837.810547,19441850
2010-09-16,15080.000000,15260.000000,15080.000000,15140.000000,11837.810547,11734100
2010-09-17,15240.000000,15560.000000,15160.000000,15460.000000,12088.012695,22369300
2010-09-20,15480.000000,15600.000000,15400.000000,15600.000000,12197.478516,14807550
2010-09-24,15580.000000,15600.000000,15160.000000,15240.000000,11915.997070,32766800
2010-09-27,15300.000000,15360.000000,15040.000000,15100.000000,11806.533203,25107150
2010-09-28,15100.000000,15120.000000,14900.000000,14900.000000,11650.153320,23315700
2010-09-29,15060.000000,15500.000000,15000.000000,15440.000000,12072.377930,35348050
2010-09-30,15440.000000,15580.000000,15340.000000,15540.000000,12150.565430,16855500
2010-10-01,15440.000000,15560.000000,15380.000000,15540.000000,12150.565430,14805750
2010-10-04,15600.000000,15620.000000,15480.000000,15600.000000,12197.478516,12835350
2010-10-05,15440.000000,15580.000000,15420.000000,15460.000000,12088.012695,14300150
2010-10-06,15560.000000,15880.000000,15520.000000,15860.000000,12400.769531,23555150
2010-10-07,15580.000000,15660.000000,15380.000000,15400.000000,12041.099609,25542150
2010-10-08,15260.000000,15320.000000,15060.000000,15160.000000,11853.451172,27125750
2010-10-11,15240.000000,15260.000000,15060.000000,15060.000000,11775.258789,18784450
2010-10-12,15040.000000,15120.000000,14920.000000,14920.000000,11665.793945,18391350
2010-10-13,15040.000000,15040.000000,14860.000000,14880.000000,11634.518555,20414700
2010-10-14,15060.000000,15060.000000,14840.000000,15000.000000,11728.342773,26710000
2010-10-15,15000.000000,15120.000000,14900.000000,15080.000000,11790.894531,24686150
2010-10-18,15140.000000,15240.000000,14960.000000,15020.000000,11743.981445,13804400
