"행정구역","2023년03월_전월인구수_남자인구수","2023년03월_전월인구수_여자인구수","2023년03월_전월인구수_계","2023년03월_당월인구수_남자인구수","2023년03월_당월인구수_여자인구수","2023년03월_당월인구수_계","2023년03월_인구증감_남자인구수","2023년03월_인구증감_여자인구수","2023년03월_인구증감_계"
"전국  (1000000000)","25,626,211","25,795,268","51,421,479","25,621,573","25,792,708","51,414,281","-4,638","-2,560","-7,198"
"서울특별시  (1100000000)","4,567,957","4,859,626","9,427,583","4,566,299","4,860,105","9,426,404","-1,658","479","-1,179"
"서울특별시 종로구 (1111000000)","68,399","73,034","141,433","68,170","72,890","141,060","-229","-144","-373"
"서울특별시 중구 (1114000000)","58,557","61,998","120,555","58,699","62,264","120,963","142","266","408"
"서울특별시 용산구 (1117000000)","104,860","113,315","218,175","104,640","113,116","217,756","-220","-199","-419"
"서울특별시 성동구 (1120000000)","136,361","144,113","280,474","136,233","144,007","280,240","-128","-106","-234"
"서울특별시 광진구 (1121500000)","162,329","174,742","337,071","162,209","174,592","336,801","-120","-150","-270"
"서울특별시 동대문구 (1123000000)","165,962","171,331","337,293","165,933","171,641","337,574","-29","310","281"
"서울특별시 중랑구 (1126000000)","189,306","195,823","385,129","189,186","195,817","385,003","-120","-6","-126"
"서울특별시 성북구 (1129000000)","206,753","223,417","430,170","206,634","223,466","430,100","-119","49","-70"
"서울특별시 강북구 (1130500000)","142,254","150,865","293,119","142,028","150,734","292,762","-226","-131","-357"
"서울특별시 도봉구 (1132000000)","150,964","159,889","310,853","150,806","159,703","310,509","-158","-186","-344"
"서울특별시 노원구 (1135000000)","241,743","261,077","502,820","241,532","260,983","502,515","-211","-94","-305"
"서울특별시 은평구 (1138000000)","221,790","243,837","465,627","221,350","243,521","464,871","-440","-316","-756"
"서울특별시 서대문구 (1141000000)","146,671","161,523","308,194","146,732","161,705","308,437","61","182","243"
"서울특별시 마포구 (1144000000)","171,284","194,163","365,447","171,215","194,355","365,570","-69","192","123"
"서울특별시 양천구 (1147000000)","215,195","224,847","440,042","214,703","224,516","439,219","-492","-331","-823"
"서울특별시 강서구 (1150000000)","272,826","295,840","568,666","272,693","295,594","568,287","-133","-246","-379"
"서울특별시 구로구 (1153000000)","194,182","201,240","395,422","194,039","201,144","395,183","-143","-96","-239"
"서울특별시 금천구 (1154500000)","115,635","113,760","229,395","115,624","113,683","229,307","-11","-77","-88"
"서울특별시 영등포구 (1156000000)","184,956","191,454","376,410","184,973","191,641","376,614","17","187","204"
"서울특별시 동작구 (1159000000)","183,606","196,016","379,622","183,900","196,301","380,201","294","285","579"
"서울특별시 관악구 (1162000000)","245,125","242,305","487,430","245,376","242,439","487,815","251","134","385"
"서울특별시 서초구 (1165000000)","193,397","211,729","405,126","193,158","211,673","404,831","-239","-56","-295"
"서울특별시 강남구 (1168000000)","253,498","276,464","529,962","254,811","277,987","532,798","1,313","1,523","2,836"
"서울특별시 송파구 (1171000000)","317,024","341,844","658,868","316,564","341,442","658,006","-460","-402","-862"
"서울특별시 강동구 (1174000000)","225,280","235,000","460,280","225,091","234,891","459,982","-189","-109","-298"
"부산광역시  (2600000000)","1,618,202","1,697,314","3,315,516","1,616,930","1,696,609","3,313,539","-1,272","-705","-1,977"
"부산광역시 중구 (2611000000)","19,233","20,478","39,711","19,172","20,417","39,589","-61","-61","-122"
"부산광역시 서구 (2614000000)","50,638","54,314","104,952","50,503","54,295","104,798","-135","-19","-154"
"부산광역시 동구 (2617000000)","41,973","44,015","85,988","41,889","43,950","85,839","-84","-65","-149"
"부산광역시 영도구 (2620000000)","53,039","54,744","107,783","52,942","54,690","107,632","-97","-54","-151"
"부산광역시 부산진구 (2623000000)","171,699","185,646","357,345","171,814","185,812","357,626","115","166","281"
"부산광역시 동래구 (2626000000)","132,289","141,062","273,351","132,146","141,049","273,195","-143","-13","-156"
"부산광역시 남구 (2629000000)","125,108","131,263","256,371","125,071","131,261","256,332","-37","-2","-39"
"부산광역시 북구 (2632000000)","136,825","141,234","278,059","136,670","141,086","277,756","-155","-148","-303"
"부산광역시 해운대구 (2635000000)","184,883","200,633","385,516","184,555","200,311","384,866","-328","-322","-650"
"부산광역시 사하구 (2638000000)","150,071","152,020","302,091","149,953","151,976","301,929","-118","-44","-162"
"부산광역시 금정구 (2641000000)","107,568","112,655","220,223","107,415","112,521","219,936","-153","-134","-287"
"부산광역시 강서구 (2644000000)","74,098","68,788","142,886","74,079","68,856","142,935","-19","68","49"
"부산광역시 연제구 (2647000000)","97,313","105,735","203,048","97,330","105,785","203,115","17","50","67"
"부산광역시 수영구 (2650000000)","82,253","92,926","175,179","82,322","93,066","175,388","69","140","209"
"부산광역시 사상구 (2653000000)","102,418","101,267","203,685","102,311","101,144","203,455","-107","-123","-230"
"부산광역시 기장군 (2671000000)","88,794","90,534","179,328","88,758","90,390","179,148","-36","-144","-180"
"대구광역시  (2700000000)","1,160,942","1,199,720","2,360,662","1,159,876","1,199,112","2,358,988","-1,066","-608","-1,674"
"대구광역시 중구 (2711000000)","39,233","42,558","81,791","39,691","43,144","82,835","458","586","1,044"
"대구광역시 동구 (2714000000)","166,179","172,431","338,610","166,214","172,568","338,782","35","137","172"
"대구광역시 서구 (2717000000)","79,122","79,846","158,968","78,857","79,689","158,546","-265","-157","-422"
"대구광역시 남구 (2720000000)","67,871","73,891","141,762","67,764","73,867","141,631","-107","-24","-131"
"대구광역시 북구 (2723000000)","213,150","215,864","429,014","212,687","215,430","428,117","-463","-434","-897"
"대구광역시 수성구 (2726000000)","198,294","212,467","410,761","197,896","212,081","409,977","-398","-386","-784"
"대구광역시 달서구 (2729000000)","263,859","273,181","537,040","263,537","272,946","536,483","-322","-235","-557"
"대구광역시 달성군 (2771000000)","133,234","129,482","262,716","133,230","129,387","262,617","-4","-95","-99"
"인천광역시  (2800000000)","1,487,333","1,484,455","2,971,788","1,488,490","1,485,991","2,974,481","1,157","1,536","2,693"
"인천광역시 중구 (2811000000)","79,735","73,980","153,715","79,754","74,170","153,924","19","190","209"
"인천광역시 동구 (2814000000)","29,832","29,465","59,297","29,878","29,505","59,383","46","40","86"
"인천광역시 미추홀구 (2817700000)","203,713","200,979","404,692","203,745","201,122","404,867","32","143","175"
"인천광역시 연수구 (2818500000)","191,686","194,820","386,506","192,573","195,666","388,239","887","846","1,733"
"인천광역시 남동구 (2820000000)","250,249","253,440","503,689","249,684","252,842","502,526","-565","-598","-1,163"
"인천광역시 부평구 (2823700000)","241,853","248,570","490,423","241,789","248,641","490,430","-64","71","7"
"인천광역시 계양구 (2824500000)","143,093","144,145","287,238","142,585","143,805","286,390","-508","-340","-848"
"인천광역시 서구 (2826000000)","300,597","295,466","596,063","301,945","296,730","598,675","1,348","1,264","2,612"
"인천광역시 강화군 (2871000000)","34,845","34,793","69,638","34,827","34,714","69,541","-18","-79","-97"
"인천광역시 옹진군 (2872000000)","11,730","8,797","20,527","11,710","8,796","20,506","-20","-1","-21"
"광주광역시  (2900000000)","706,167","722,760","1,428,927","705,471","722,037","1,427,508","-696","-723","-1,419"
"광주광역시 동구 (2911000000)","52,399","53,702","106,101","52,416","53,831","106,247","17","129","146"
"광주광역시 서구 (2914000000)","140,606","146,631","287,237","140,374","146,452","286,826","-232","-179","-411"
"광주광역시 남구 (2915500000)","101,635","110,272","211,907","101,510","110,053","211,563","-125","-219","-344"
"광주광역시 북구 (2917000000)","209,973","214,040","424,013","209,814","213,909","423,723","-159","-131","-290"
"광주광역시 광산구 (2920000000)","201,554","198,115","399,669","201,357","197,792","399,149","-197","-323","-520"
"대전광역시  (3000000000)","721,195","724,680","1,445,875","721,051","724,468","1,445,519","-144","-212","-356"
"대전광역시 동구 (3011000000)","110,614","108,996","219,610","110,597","108,979","219,576","-17","-17","-34"
"대전광역시 중구 (3014000000)","111,292","115,129","226,421","111,123","114,957","226,080","-169","-172","-341"
"대전광역시 서구 (3017000000)","230,651","239,058","469,709","230,420","238,966","469,386","-231","-92","-323"
"대전광역시 유성구 (3020000000)","181,227","176,962","358,189","181,590","177,208","358,798","363","246","609"
"대전광역시 대덕구 (3023000000)","87,411","84,535","171,946","87,321","84,358","171,679","-90","-177","-267"
"울산광역시  (3100000000)","569,576","539,089","1,108,665","569,131","538,615","1,107,746","-445","-474","-919"
"울산광역시 중구 (3111000000)","104,861","102,507","207,368","104,692","102,336","207,028","-169","-171","-340"
"울산광역시 남구 (3114000000)","158,271","151,998","310,269","158,170","151,736","309,906","-101","-262","-363"
"울산광역시 동구 (3117000000)","78,855","72,330","151,185","78,776","72,233","151,009","-79","-97","-176"
"울산광역시 북구 (3120000000)","113,121","105,575","218,696","113,133","105,614","218,747","12","39","51"
"울산광역시 울주군 (3171000000)","114,468","106,679","221,147","114,360","106,696","221,056","-108","17","-91"
"세종특별자치시  (3600000000)","192,110","193,175","385,285","192,212","193,397","385,609","102","222","324"
"세종특별자치시  (3611000000)","192,110","193,175","385,285","192,212","193,397","385,609","102","222","324"
"경기도  (4100000000)","6,844,167","6,756,633","13,600,800","6,845,505","6,758,041","13,603,546","1,338","1,408","2,746"
"경기도 수원시 (4111000000)","600,546","592,140","1,192,686","600,239","591,986","1,192,225","-307","-154","-461"
"경기도 성남시 (4113000000)","457,452","466,599","924,051","457,196","466,220","923,416","-256","-379","-635"
"경기도 의정부시 (4115000000)","227,702","235,351","463,053","227,427","235,210","462,637","-275","-141","-416"
"경기도 안양시 (4117000000)","270,552","277,031","547,583","270,396","276,924","547,320","-156","-107","-263"
"경기도 부천시 (4119000000)","389,755","397,918","787,673","389,786","398,027","787,813","31","109","140"
"경기도 광명시 (4121000000)","140,875","145,709","286,584","140,204","144,994","285,198","-671","-715","-1,386"
"경기도 평택시 (4122000000)","304,985","276,539","581,524","305,849","277,180","583,029","864","641","1,505"
"경기도 동두천시 (4125000000)","45,346","45,537","90,883","45,205","45,377","90,582","-141","-160","-301"
"경기도 안산시 (4127000000)","327,745","311,610","639,355","327,172","311,092","638,264","-573","-518","-1,091"
"경기도 고양시 (4128000000)","526,302","551,785","1,078,087","526,169","551,740","1,077,909","-133","-45","-178"
"경기도 과천시 (4129000000)","38,580","39,946","78,526","38,640","40,014","78,654","60","68","128"
"경기도 구리시 (4131000000)","93,321","95,115","188,436","93,443","95,266","188,709","122","151","273"
