"행정구역","2023년03월_전월인구수_남자인구수","2023년03월_전월인구수_여자인구수","2023년03월_전월인구수_계","2023년03월_당월인구수_남자인구수","2023년03월_당월인구수_여자인구수","2023년03월_당월인구수_계","2023년03월_인구증감_남자인구수","2023년03월_인구증감_여자인구수","2023년03월_인구증감_계"
"경기도 남양주시 (4136000000)","365,732","370,752","736,484","365,298","370,351","735,649","-434","-401","-835"
"경기도 오산시 (4137000000)","119,498","109,917","229,415","119,410","109,837","229,247","-88","-80","-168"
"경기도 시흥시 (4139000000)","268,841","246,217","515,058","270,176","247,160","517,336","1,335","943","2,278"
"경기도 군포시 (4141000000)","131,792","133,856","265,648","131,609","133,643","265,252","-183","-213","-396"
"경기도 의왕시 (4143000000)","79,177","80,524","159,701","78,962","80,284","159,246","-215","-240","-455"
"경기도 하남시 (4145000000)","162,945","163,759","326,704","162,956","163,812","326,768","11","53","64"
"경기도 용인시 (4146000000)","532,920","541,213","1,074,133","532,590","540,923","1,073,513","-330","-290","-620"
"경기도 파주시 (4148000000)","251,548","244,262","495,810","251,832","244,618","496,450","284","356","640"
"경기도 이천시 (4150000000)","115,745","106,561","222,306","115,650","106,498","222,148","-95","-63","-158"
"경기도 안성시 (4155000000)","97,562","91,072","188,634","97,561","91,013","188,574","-1","-59","-60"
"경기도 김포시 (4157000000)","242,067","242,469","484,536","242,029","242,485","484,514","-38","16","-22"
"경기도 화성시 (4159000000)","477,437","441,428","918,865","479,113","443,118","922,231","1,676","1,690","3,366"
"경기도 광주시 (4161000000)","199,466","191,484","390,950","199,468","191,481","390,949","2","-3","-1"
"경기도 양주시 (4163000000)","125,679","122,889","248,568","126,690","124,008","250,698","1,011","1,119","2,130"
"경기도 포천시 (4165000000)","77,332","68,595","145,927","77,170","68,444","145,614","-162","-151","-313"
"경기도 여주시 (4167000000)","57,643","55,600","113,243","57,644","55,565","113,209","1","-35","-34"
"경기도 연천군 (4180000000)","21,979","19,851","41,830","21,951","19,811","41,762","-28","-40","-68"
"경기도 가평군 (4182000000)","32,069","30,000","62,069","32,009","29,960","61,969","-60","-40","-100"
"경기도 양평군 (4183000000)","61,574","60,904","122,478","61,661","61,000","122,661","87","96","183"
"강원도  (4200000000)","771,758","762,309","1,534,067","771,574","762,145","1,533,719","-184","-164","-348"
"강원도 춘천시 (4211000000)","141,631","145,208","286,839","141,586","145,264","286,850","-45","56","11"
"강원도 원주시 (4213000000)","178,928","182,005","360,933","178,847","181,905","360,752","-81","-100","-181"
"강원도 강릉시 (4215000000)","104,548","106,392","210,940","104,419","106,259","210,678","-129","-133","-262"
"강원도 동해시 (4217000000)","45,325","43,909","89,234","45,323","43,863","89,186","-2","-46","-48"
"강원도 태백시 (4219000000)","19,725","19,406","39,131","19,678","19,372","39,050","-47","-34","-81"
"강원도 속초시 (4221000000)","40,970","41,715","82,685","40,885","41,656","82,541","-85","-59","-144"
"강원도 삼척시 (4223000000)","31,956","31,072","63,028","32,220","31,267","63,487","264","195","459"
"강원도 홍천군 (4272000000)","34,880","32,935","67,815","34,845","32,914","67,759","-35","-21","-56"
"강원도 횡성군 (4273000000)","23,842","22,620","46,462","23,904","22,717","46,621","62","97","159"
"강원도 영월군 (4275000000)","19,405","18,156","37,561","19,496","18,160","37,656","91","4","95"
"강원도 평창군 (4276000000)","21,129","19,732","40,861","21,080","19,707","40,787","-49","-25","-74"
"강원도 정선군 (4277000000)","18,199","16,626","34,825","18,153","16,606","34,759","-46","-20","-66"
"강원도 철원군 (4278000000)","21,806","20,258","42,064","21,759","20,235","41,994","-47","-23","-70"
"강원도 화천군 (4279000000)","12,481","10,749","23,230","12,416","10,728","23,144","-65","-21","-86"
"강원도 양구군 (4280000000)","11,171","10,116","21,287","11,213","10,138","21,351","42","22","64"
"강원도 인제군 (4281000000)","17,501","14,625","32,126","17,487","14,602","32,089","-14","-23","-37"
"강원도 고성군 (4282000000)","14,015","13,182","27,197","13,992","13,163","27,155","-23","-19","-42"
"강원도 양양군 (4283000000)","14,246","13,603","27,849","14,271","13,589","27,860","25","-14","11"
"충청북도  (4300000000)","810,305","783,129","1,593,434","810,811","783,245","1,594,056","506","116","622"
"충청북도 청주시 (4311000000)","429,378","420,243","849,621","429,363","420,176","849,539","-15","-67","-82"
"충청북도 충주시 (4313000000)","105,458","102,588","208,046","105,451","102,550","208,001","-7","-38","-45"
"충청북도 제천시 (4315000000)","65,573","64,915","130,488","66,169","65,382","131,551","596","467","1,063"
"충청북도 보은군 (4372000000)","15,880","15,564","31,444","15,862","15,552","31,414","-18","-12","-30"
"충청북도 옥천군 (4373000000)","24,881","24,429","49,310","24,904","24,407","49,311","23","-22","1"
"충청북도 영동군 (4374000000)","22,405","22,345","44,750","22,385","22,345","44,730","-20","0","-20"
"충청북도 증평군 (4374500000)","19,425","17,890","37,315","19,445","17,876","37,321","20","-14","6"
"충청북도 진천군 (4375000000)","45,369","40,537","85,906","45,363","40,479","85,842","-6","-58","-64"
"충청북도 괴산군 (4376000000)","19,034","17,877","36,911","18,991","17,844","36,835","-43","-33","-76"
"충청북도 음성군 (4377000000)","48,781","43,124","91,905","48,781","43,044","91,825","0","-80","-80"
"충청북도 단양군 (4380000000)","14,121","13,617","27,738","14,097","13,590","27,687","-24","-27","-51"
"충청남도  (4400000000)","1,087,162","1,036,463","2,123,625","1,087,705","1,036,945","2,124,650","543","482","1,025"
"충청남도 천안시 (4413000000)","336,618","320,799","657,417","336,825","320,991","657,816","207","192","399"
"충청남도 공주시 (4415000000)","51,215","51,265","102,480","51,293","51,404","102,697","78","139","217"
"충청남도 보령시 (4418000000)","49,061","47,758","96,819","49,036","47,720","96,756","-25","-38","-63"
"충청남도 아산시 (4420000000)","175,505","161,243","336,748","175,484","161,206","336,690","-21","-37","-58"
"충청남도 서산시 (4421000000)","91,979","84,210","176,189","91,968","84,182","176,150","-11","-28","-39"
"충청남도 논산시 (4423000000)","56,039","56,122","112,161","55,922","55,992","111,914","-117","-130","-247"
"충청남도 계룡시 (4425000000)","22,182","22,341","44,523","22,347","22,571","44,918","165","230","395"
"충청남도 당진시 (4427000000)","89,750","78,722","168,472","89,905","78,768","168,673","155","46","201"
"충청남도 금산군 (4471000000)","25,360","24,846","50,206","25,394","24,924","50,318","34","78","112"
"충청남도 부여군 (4476000000)","30,842","31,177","62,019","30,812","31,144","61,956","-30","-33","-63"
"충청남도 서천군 (4477000000)","24,619","25,189","49,808","24,581","25,151","49,732","-38","-38","-76"
"충청남도 청양군 (4479000000)","15,342","14,785","30,127","15,444","14,836","30,280","102","51","153"
"충청남도 홍성군 (4480000000)","48,592","48,920","97,512","48,492","48,796","97,288","-100","-124","-224"
"충청남도 예산군 (4481000000)","39,209","38,918","78,127","39,351","39,100","78,451","142","182","324"
"충청남도 태안군 (4482500000)","30,849","30,168","61,017","30,851","30,160","61,011","2","-8","-6"
"전라북도  (4500000000)","879,065","887,459","1,766,524","878,456","886,719","1,765,175","-609","-740","-1,349"
"전라북도 전주시 (4511000000)","319,129","330,233","649,362","318,416","329,571","647,987","-713","-662","-1,375"
"전라북도 군산시 (4513000000)","132,671","129,201","261,872","132,513","129,088","261,601","-158","-113","-271"
"전라북도 익산시 (4514000000)","135,861","136,932","272,793","135,758","136,844","272,602","-103","-88","-191"
"전라북도 정읍시 (4518000000)","52,175","52,654","104,829","52,062","52,528","104,590","-113","-126","-239"
"전라북도 남원시 (4519000000)","38,090","39,582","77,672","38,024","39,525","77,549","-66","-57","-123"
"전라북도 김제시 (4521000000)","40,632","41,114","81,746","40,738","41,155","81,893","106","41","147"
"전라북도 완주군 (4571000000)","48,063","45,475","93,538","48,459","45,806","94,265","396","331","727"
"전라북도 진안군 (4572000000)","12,545","12,048","24,593","12,584","12,067","24,651","39","19","58"
"전라북도 무주군 (4573000000)","11,690","11,707","23,397","11,690","11,685","23,375","0","-22","-22"
"전라북도 장수군 (4574000000)","10,657","10,557","21,214","10,643","10,534","21,177","-14","-23","-37"
"전라북도 임실군 (4575000000)","13,556","12,881","26,437","13,546","12,852","26,398","-10","-29","-39"
"전라북도 순창군 (4577000000)","13,145","13,612","26,757","13,139","13,621","26,760","-6","9","3"
"전라북도 고창군 (4579000000)","25,953","26,255","52,208","25,976","26,229","52,205","23","-26","-3"
"전라북도 부안군 (4580000000)","24,898","25,208","50,106","24,908","25,214","50,122","10","6","16"
"전라남도  (4600000000)","914,087","900,771","1,814,858","913,670","900,202","1,813,872","-417","-569","-986"
"전라남도 목포시 (4611000000)","107,561","108,768","216,329","107,353","108,603","215,956","-208","-165","-373"
"전라남도 여수시 (4613000000)","139,529","134,636","274,165","139,417","134,500","273,917","-112","-136","-248"
"전라남도 순천시 (4615000000)","138,990","139,588","278,578","139,060","139,589","278,649","70","1","71"
"전라남도 나주시 (4617000000)","58,933","57,836","116,769","58,986","57,856","116,842","53","20","73"
"전라남도 광양시 (4623000000)","79,543","72,601","152,144","79,487","72,583","152,070","-56","-18","-74"
"전라남도 담양군 (4671000000)","23,076","22,551","45,627","23,088","22,567","45,655","12","16","28"
"전라남도 곡성군 (4672000000)","13,358","13,644","27,002","13,373","13,634","27,007","15","-10","5"
"전라남도 구례군 (4673000000)","12,008","12,579","24,587","11,957","12,559","24,516","-51","-20","-71"
"전라남도 고흥군 (4677000000)","30,079","31,596","61,675","30,040","31,575","61,615","-39","-21","-60"
"전라남도 보성군 (4678000000)","18,792","19,570","38,362","18,760","19,497","38,257","-32","-73","-105"
"전라남도 화순군 (4679000000)","30,591","31,301","61,892","30,550","31,251","61,801","-41","-50","-91"
"전라남도 장흥군 (4680000000)","17,326","18,180","35,506","17,303","18,167","35,470","-23","-13","-36"
"전라남도 강진군 (4681000000)","16,043","17,003","33,046","16,025","16,990","33,015","-18","-13","-31"
"전라남도 해남군 (4682000000)","32,680","32,942","65,622","32,645","32,840","65,485","-35","-102","-137"
"전라남도 영암군 (4683000000)","27,331","25,018","52,349","27,413","25,078","52,491","82","60","142"
"전라남도 무안군 (4684000000)","45,539","45,051","90,590","45,526","45,083","90,609","-13","32","19"
"전라남도 함평군 (4686000000)","15,540","15,230","30,770","15,551","15,219","30,770","11","-11","0"
"전라남도 영광군 (4687000000)","26,098","26,094","52,192","26,137","26,121","52,258","39","27","66"
"전라남도 장성군 (4688000000)","22,105","20,878","42,983","22,086","20,862","42,948","-19","-16","-35"
"전라남도 완도군 (4689000000)","23,935","23,503","47,438","23,893","23,441","47,334","-42","-62","-104"
"전라남도 진도군 (4690000000)","14,682","14,735","29,417","14,646","14,717","29,363","-36","-18","-54"
"전라남도 신안군 (4691000000)","20,348","17,467","37,815","20,374","17,470","37,844","26","3","29"
"경상북도  (4700000000)","1,309,417","1,284,982","2,594,399","1,309,056","1,284,154","2,593,210","-361","-828","-1,189"
"경상북도 포항시 (4711000000)","251,009","244,220","495,229","250,619","243,833","494,452","-390","-387","-777"
"경상북도 경주시 (4713000000)","124,557","124,336","248,893","124,489","124,305","248,794","-68","-31","-99"
"경상북도 김천시 (4715000000)","69,771","69,209","138,980","69,805","69,212","139,017","34","3","37"
"경상북도 안동시 (4717000000)","76,178","77,960","154,138","76,096","77,897","153,993","-82","-63","-145"
"경상북도 구미시 (4719000000)","209,729","197,658","407,387","209,642","197,402","407,044","-87","-256","-343"
"경상북도 영주시 (4721000000)","49,793","50,706","100,499","50,002","50,845","100,847","209","139","348"
"경상북도 영천시 (4723000000)","51,368","49,594","100,962","51,379","49,577","100,956","11","-17","-6"
"경상북도 상주시 (4725000000)","46,633","48,065","94,698","46,636","48,048","94,684","3","-17","-14"
"경상북도 문경시 (4728000000)","34,373","35,488","69,861","34,402","35,479","69,881","29","-9","20"
"경상북도 경산시 (4729000000)","134,623","132,867","267,490","134,757","132,960","267,717","134","93","227"
"경상북도 군위군 (4772000000)","11,950","11,327","23,277","11,941","11,297","23,238","-9","-30","-39"
"경상북도 의성군 (4773000000)","24,657","25,385","50,042","24,618","25,336","49,954","-39","-49","-88"
"경상북도 청송군 (4775000000)","12,154","12,091","24,245","12,158","12,067","24,225","4","-24","-20"
"경상북도 영양군 (4776000000)","7,956","7,975","15,931","7,934","7,978","15,912","-22","3","-19"
"경상북도 영덕군 (4777000000)","16,444","18,116","34,560","16,440","18,075","34,515","-4","-41","-45"
"경상북도 청도군 (4782000000)","20,583","21,081","41,664","20,563","21,102","41,665","-20","21","1"
"경상북도 고령군 (4783000000)","15,575","14,744","30,319","15,589","14,731","30,320","14","-13","1"
"경상북도 성주군 (4784000000)","22,171","20,399","42,570","22,166","20,390","42,556","-5","-9","-14"
"경상북도 칠곡군 (4785000000)","58,677","53,397","112,074","58,570","53,324","111,894","-107","-73","-180"
"경상북도 예천군 (4790000000)","27,364","28,333","55,697","27,353","28,298","55,651","-11","-35","-46"
"경상북도 봉화군 (4792000000)","15,252","14,796","30,048","15,264","14,773","30,037","12","-23","-11"
"경상북도 울진군 (4793000000)","23,607","23,242","46,849","23,618","23,206","46,824","11","-36","-25"
"경상북도 울릉군 (4794000000)","4,993","3,993","8,986","5,015","4,019","9,034","22","26","48"
"경상남도  (4800000000)","1,647,690","1,624,691","3,272,381","1,646,280","1,622,948","3,269,228","-1,410","-1,743","-3,153"
"경상남도 창원시 (4812000000)","515,734","502,965","1,018,699","515,053","502,220","1,017,273","-681","-745","-1,426"
"경상남도 진주시 (4817000000)","169,591","173,576","343,167","169,482","173,441","342,923","-109","-135","-244"
"경상남도 통영시 (4822000000)","61,332","60,840","122,172","61,225","60,678","121,903","-107","-162","-269"
"경상남도 사천시 (4824000000)","55,162","53,991","109,153","55,128","53,940","109,068","-34","-51","-85"
"경상남도 김해시 (4825000000)","270,155","264,057","534,212","269,766","263,775","533,541","-389","-282","-671"
"경상남도 밀양시 (4827000000)","50,532","52,150","102,682","50,580","52,127","102,707","48","-23","25"
"경상남도 거제시 (4831000000)","123,271","112,367","235,638","123,130","112,220","235,350","-141","-147","-288"
"경상남도 양산시 (4833000000)","177,126","176,618","353,744","177,137","176,679","353,816","11","61","72"
"경상남도 의령군 (4872000000)","12,859","13,040","25,899","12,853","13,045","25,898","-6","5","-1"
"경상남도 함안군 (4873000000)","31,279","29,927","61,206","31,250","29,850","61,100","-29","-77","-106"
"경상남도 창녕군 (4874000000)","29,069","29,085","58,154","28,982","29,016","57,998","-87","-69","-156"
"경상남도 고성군 (4882000000)","25,180","24,923","50,103","25,197","24,918","50,115","17","-5","12"
"경상남도 남해군 (4884000000)","20,134","21,283","41,417","20,158","21,267","41,425","24","-16","8"
"경상남도 하동군 (4885000000)","21,177","21,106","42,283","21,146","21,089","42,235","-31","-17","-48"
"경상남도 산청군 (4886000000)","16,898","17,205","34,103","16,918","17,191","34,109","20","-14","6"
"경상남도 함양군 (4887000000)","18,162","19,284","37,446","18,137","19,249","37,386","-25","-35","-60"
"경상남도 거창군 (4888000000)","29,606","30,718","60,324","29,741","30,721","60,462","135","3","138"
"경상남도 합천군 (4889000000)","20,423","21,556","41,979","20,397","21,522","41,919","-26","-34","-60"
"제주특별자치도  (5000000000)","339,078","338,012","677,090","339,056","337,975","677,031","-22","-37","-59"
"제주특별자치도 제주시 (5011000000)","246,203","246,410","492,613","246,197","246,396","492,593","-6","-14","-20"
"제주특별자치도 서귀포시 (5013000000)","92,875","91,602","184,477","92,859","91,579","184,438","-16","-23","-39"
