연월일,시분초,온도,습도,강수량,풍향
2023-04-06,08:46:06,13℃,습도64%,강수량28.0mm,풍향 남남서 1.9 m/s
2023-04-06,08:47:06,13℃,습도64%,강수량28.0mm,풍향 남남서 1.9 m/s
2023-04-06,08:48:06,13℃,습도64%,강수량28.0mm,풍향 남남서 1.9 m/s
